Potapenko, 14, 11, 1993
Krivoruchko, 14, 8, 1998
Makaronokodov, 16, 3, 1994
Gotomaster, 23, 7, 1999
Riseordiev, 27, 1, 1998
Palkovkolesov, 25, 9, 1998
Dyneedov, 6, 2, 1995
Malinoedov, 3, 5, 1999
Melnik, 4, 3, 1997
Kovalenko, 1, 8, 1996
Ogurtsov, 8, 11, 1995
Polenov, 9, 12, 1993
Rechnik, 10, 8, 2002
Dachnik, 12, 4, 1986
Apelsinov, 15, 1, 1935
Mandarinov, 8, 3, 1995
Sedovlasov, 7, 5, 1998
Boldonov, 23, 4, 1992
Repin, 25, 8, 1996
Sartr, 28, 9, 1975
Kafka, 19, 11, 1964
Kamu, 27, 12, 1994
Leshenko, 30, 11, 1978
Filipov, 31, 12, 2001
Testeriniv, 25, 2, 1993
Sharikov, 16, 1, 2000
Kruglov, 17, 4, 1998
